"x","y","z","w","id"
38.6135460000001,-32.8030459999997,1.4224518,1,1
38.7335620000001,-32.8156599999997,1.3147373,1,1
38.3299610000001,-32.7732399999997,1.57301155,1,1
38.1738130000001,-32.7568279999997,1.61191731000001,1,1
38.8347370000001,-32.8262939999997,1.1889755,1,1
37.4561380000001,-32.6813969999997,-15.36073,1,1
37.6187710000001,-32.6984909999997,-15.31833,1,1
37.771986,-32.7145949999997,-15.249,1,1
37.9114080000001,-32.7292479999997,-15.15473,1,1
38.0330590000001,-32.7420339999997,-15.03821,1,1
29.1793679999998,-28.1187880000001,1.625,1,1
29.7559349999999,-28.6953550000001,1.625,1,1
29.7892209999998,-27.7631810000001,1.625,1,1
30.2885999999998,-28.4157450000001,1.625,1,1
30.4490409999998,-27.5121520000001,1.625,1,1
30.8612796999998,-28.231483,1.625,1,1
